iter	Logloss
0	0.6638945991
1	0.6416828007
2	0.6171243011
3	0.5939196073
4	0.5741263264
5	0.5587708801
6	0.5412352786
7	0.5274050404
8	0.5120764642
9	0.4978035822
10	0.4839804607
11	0.4725746585
12	0.4625638023
13	0.4522607614
14	0.439868437
15	0.4310838759
16	0.4212506889
17	0.4135379264
18	0.4074914973
19	0.3985190077
20	0.3912238686
21	0.3859159854
22	0.3786842373
23	0.3732857075
24	0.3686365024
25	0.3615985172
26	0.3569149027
27	0.3502453091
28	0.3453363258
29	0.3400163405
30	0.3352600381
31	0.3305295213
32	0.3268898881
33	0.3241193068
34	0.3193717659
35	0.3142509534
36	0.3107066597
37	0.3076560046
38	0.3046802998
39	0.302052121
40	0.3002720525
41	0.2976642855
42	0.2947488611
43	0.292250789
44	0.2895305544
45	0.2878164904
46	0.2851000939
47	0.2826238488
48	0.2800293223
49	0.2770580546
50	0.2754513461
51	0.2731544035
52	0.2709045045
53	0.2684398396
54	0.2658476508
55	0.2641028808
56	0.2619742872
57	0.2603563224
58	0.2581284334
59	0.2564477853
60	0.2556872842
61	0.2536180968
62	0.2528266028
63	0.2509935716
64	0.2491234115
65	0.2473837109
66	0.2456553271
67	0.2437057886
68	0.2415868099
69	0.2407918101
70	0.2393869699
71	0.2382852129
72	0.237218872
73	0.2352715604
74	0.2339567729
75	0.2334847984
76	0.2317679805
77	0.2299106673
78	0.2288513795
79	0.2270523841
80	0.2259340526
81	0.2254153021
82	0.2247392612
83	0.2232760834
84	0.2223145809
85	0.2212108154
86	0.2200428718
87	0.2182285112
88	0.2172751663
89	0.215892084
90	0.215296461
91	0.214123953
92	0.212776655
93	0.2116014814
94	0.2109627019
95	0.2103216122
96	0.2096302341
97	0.2079937867
98	0.2072309906
99	0.2059238115
100	0.2051631319
101	0.2040869163
102	0.2028549971
103	0.2006278119
104	0.1999555403
105	0.199246743
106	0.1983687968
107	0.197324164
108	0.1964558676
109	0.1954326049
110	0.194842971
111	0.1934487211
112	0.1924308239
113	0.192051475
114	0.1911770664
115	0.1905924587
116	0.1898606656
117	0.1886143324
118	0.1883528967
119	0.1876577242
120	0.1870237613
121	0.1865084662
122	0.1857712027
123	0.185157524
124	0.1842554334
125	0.183836519
